n_steps,tiempo_python,tiempo_cython,speedup
100,0.14682936668395996,0.002719879150390625,53.98378330995792
200,0.633807897567749,0.010796308517456055,58.70598237749266
300,1.4131052494049072,0.023204565048217773,60.8977262219117
400,2.4402964115142822,0.04128384590148926,59.11020056942544
500,3.8893020153045654,0.06622529029846191,58.72834981585418
600,5.717979669570923,0.09812450408935547,58.272698778318805
700,7.641539096832275,0.1327352523803711,57.5697786367588
800,9.896289825439453,0.18233680725097656,54.27477849723318
900,12.524809122085571,0.21713542938232422,57.68201512629401
1000,15.27393364906311,0.26423072814941406,57.805289172976835
1100,18.365901708602905,0.3127589225769043,58.722231031112834
1200,22.189066410064697,0.3855295181274414,57.55477950907467
